year,month,day,u1,u2,u3,u4
2008,10,8,-1.60931,2.28695,-0.00271,-0.46564
2008,10,29,-0.46951,1.24302,-1.03413,-3.87865
2008,12,16,-2.13868,-2.61286,-1.25079,0.35227
2009,1,28,0.06521,0.16322,0.42835,-0.11965
2009,3,18,0.02282,-5.74492,-11.35611,0.02172
2009,4,29,0.06449,-0.04349,1.80908,1.67991
2009,6,24,-0.00187,1.62207,2.09502,0.05813
2009,8,12,-0.00301,0.35702,0.74174,-0.47346
2009,9,23,-0.07214,-1.77372,-0.55697,-0.29667
2009,11,4,-0.08189,0.01098,1.18909,-0.11444
2009,12,16,-0.41387,0.65543,0.8374,0.02646
2010,1,27,-0.05811,0.60647,-0.72043,1.0993
2010,3,16,-0.07486,-0.59917,0.61506,-0.40555
2010,4,28,-0.00205,-0.12531,0.60889,0.27037
2010,6,23,0.06667,-0.36349,0.07193,0.55667
2010,8,10,0.05317,-1.28805,-1.63376,0.81068
2010,9,21,-0.00024,-0.68975,0.09659,0.90875
2010,11,3,0.10363,0.92557,2.23034,-0.6997
2010,12,14,-0.003,0.13787,0.88021,-0.01919
2011,1,26,-0.07016,0.14243,0.84364,-0.24422
2011,3,15,0.00409,0.10048,-0.18566,0.97248
2011,4,27,-0.00367,-0.48142,0.27169,-0.24872
2011,6,22,0.00086,0.22799,0.36229,0.46181
2011,8,9,-0.10808,-0.00274,1.35329,-2.91291
2011,9,21,0.1199,0.08601,-2.17319,-0.04651
2011,11,2,0.0015,0.24935,-0.20359,-0.08352
2011,12,13,0.05746,0.54226,-0.48595,-1.29812
2012,1,25,-0.06523,-0.85407,-1.08635,0.12987
2012,3,13,-0.00182,0.45862,1.02746,0.15605
2012,4,25,-0.00176,0.13966,0.51018,-0.09287
2012,6,20,0.10585,-0.18829,-1.58138,0.08004
2012,8,1,-0.14825,0.54968,0.09547,0.5077
2012,9,13,0.11571,0.20333,1.91121,1.56248
2012,10,24,-0.06612,0.0669,-0.14126,-0.09664
2012,12,12,0.05226,-0.13124,0.97473,0.72667
2013,1,30,0.06565,-0.11176,-0.04824,-0.2465
